实例ID,最优目标值,任务开始时间
j3038_9,63,"[0,0,0,0,7,7,22,9,9,16,7,30,15,13,30,11,42,37,30,37,44,44,30,45,45,13,54,24,62,54,55,63]"
j3038_10,60,"[0,0,0,0,3,7,11,20,20,11,7,7,26,11,30,13,31,30,40,30,45,39,20,36,39,47,46,49,54,50,55,60]"
j3039_1,55,"[0,0,0,0,12,5,5,3,12,6,7,12,15,5,25,34,40,20,29,28,36,45,39,20,30,40,46,44,50,49,47,55]"
j3039_2,54,"[0,0,0,0,1,1,7,9,7,3,11,21,9,11,21,21,18,31,27,13,40,24,27,44,30,36,44,40,40,39,46,54]"
j3039_3,54,"[0,0,0,0,6,8,3,13,18,7,8,8,8,14,15,24,34,18,14,19,17,25,24,25,35,51,35,35,44,24,53,54]"
j3039_4,53,"[0,0,0,0,7,17,5,5,1,13,11,24,6,18,24,17,11,21,21,39,27,47,27,30,40,28,30,29,50,50,43,53]"
j3039_5,55,"[0,0,8,0,10,12,10,8,16,18,24,19,20,20,12,18,20,33,29,34,35,39,16,24,39,50,33,42,48,51,46,55]"
j3039_6,69,"[0,0,0,10,19,10,12,19,52,28,28,12,31,18,32,38,35,47,38,44,62,11,38,52,64,44,59,61,67,54,63,69]"
j3039_7,56,"[0,0,0,0,9,9,7,9,4,19,13,22,9,17,20,30,19,24,25,38,38,30,28,48,39,39,38,40,42,49,55,56]"
j3039_8,67,"[0,29,0,0,4,6,12,26,20,12,40,7,29,29,7,29,37,34,60,39,26,47,47,39,35,43,53,52,65,58,62,67]"
j3039_9,64,"[0,0,0,0,10,5,12,23,16,5,16,5,22,10,20,23,25,30,39,33,34,34,41,41,40,47,55,48,54,59,54,64]"
j3039_10,60,"[0,0,0,0,13,8,8,13,17,16,20,2,20,14,18,29,17,13,29,23,33,24,33,41,36,41,54,42,59,50,50,60]"
j3040_1,51,"[0,0,0,0,1,8,2,7,7,1,17,17,25,8,24,38,26,29,33,32,38,38,46,18,35,44,31,41,41,49,49,51]"
j3040_2,56,"[0,0,0,0,7,1,16,7,7,17,28,6,1,24,15,16,41,38,47,31,40,34,28,40,35,45,42,42,48,51,50,56]"
j3040_3,57,"[0,0,0,0,1,7,9,7,1,17,9,9,17,13,24,9,24,21,33,24,41,24,13,34,53,34,45,41,55,56,51,57]"
j3040_4,57,"[0,0,0,0,6,6,6,9,3,18,11,18,18,13,27,28,28,27,18,13,36,39,39,48,49,46,45,47,48,52,55,57]"
j3040_5,65,"[0,4,0,0,6,13,13,23,13,3,9,23,6,22,26,23,32,26,32,27,43,37,55,35,41,47,47,53,57,55,42,65]"
j3040_6,60,"[0,0,0,0,7,12,12,19,7,10,17,15,15,21,21,28,38,25,25,29,27,22,34,39,40,30,46,49,57,48,52,60]"
j3040_7,46,"[0,0,0,0,5,1,1,11,5,15,11,11,17,14,11,20,20,33,23,17,26,37,37,31,23,35,38,26,41,42,39,46]"
j3040_8,57,"[0,0,0,0,10,5,10,5,20,10,20,27,5,20,25,12,26,28,48,34,22,35,27,43,36,36,41,43,55,51,51,57]"
j3040_9,64,"[0,0,0,0,9,8,8,9,9,14,11,14,15,21,31,20,31,8,41,20,42,51,47,25,51,21,48,50,56,61,56,64]"
j3040_10,51,"[0,0,0,0,5,9,9,15,19,4,7,10,20,10,18,20,16,19,33,27,22,28,34,28,37,35,35,43,41,41,45,51]"
j3041_1,86,"[0,0,25,0,8,5,20,8,25,13,13,21,34,36,26,30,58,35,41,44,50,66,65,38,55,55,66,64,72,84,81,86]"
j3041_2,89,"[0,0,17,8,9,26,32,35,19,38,26,43,27,40,35,45,19,45,56,55,60,69,67,60,68,72,67,80,82,76,87,89]"
j3041_3,85,"[0,0,0,20,10,20,10,36,50,7,60,38,33,30,48,30,67,57,49,68,54,75,74,49,79,52,68,61,77,79,81,85]"
j3041_4,78,"[0,0,13,0,26,9,10,32,19,19,10,27,13,5,31,38,42,32,41,51,44,42,48,28,63,44,51,68,58,69,53,78]"
j3041_5,99,"[0,0,18,0,10,35,38,10,28,22,28,44,52,67,57,38,38,63,52,73,59,79,52,69,81,89,84,78,86,96,89,99]"
j3041_6,103,"[0,0,16,11,9,17,32,17,9,34,41,46,41,57,21,72,65,25,52,81,85,64,73,82,46,80,56,84,98,94,92,103]"
j3041_7,92,"[0,9,9,0,18,13,32,28,40,54,21,58,28,34,28,50,50,34,40,39,62,68,65,78,69,45,72,78,85,87,88,92]"
j3041_8,88,"[0,0,0,0,9,10,28,11,37,19,34,19,33,36,41,46,27,66,37,59,55,52,68,41,67,68,77,78,80,47,72,88]"
j3041_9,92,"[0,0,13,23,12,35,13,33,26,27,9,18,31,39,34,41,58,34,43,67,48,79,59,41,70,71,64,67,88,87,79,92]"
j3041_10,99,"[0,2,21,0,4,12,32,11,47,28,30,50,21,59,37,35,59,65,41,41,43,78,47,85,55,70,59,79,90,70,89,99]"
j3042_1,58,"[0,0,0,0,9,19,9,9,10,22,28,18,17,10,34,33,28,18,33,37,27,37,41,45,47,44,37,43,55,37,50,58]"
j3042_2,50,"[0,8,0,0,6,12,25,10,21,14,20,25,26,13,8,32,20,31,24,34,34,31,18,28,29,37,36,41,43,42,40,50]"
j3042_3,60,"[0,0,0,7,8,11,8,20,20,10,16,26,30,22,32,26,36,12,41,16,36,34,34,44,45,48,44,42,56,50,52,60]"
j3042_4,49,"[0,0,0,0,25,3,17,30,12,9,16,14,14,10,21,32,35,23,16,22,28,40,17,31,31,38,38,34,44,47,43,49]"
j3042_5,52,"[0,0,0,0,4,4,7,5,4,8,20,5,9,20,9,17,30,7,30,12,17,12,11,26,37,35,35,38,48,46,42,52]"
j3042_6,66,"[0,0,0,0,7,6,13,23,21,13,29,7,25,32,35,47,13,44,35,37,39,44,49,57,57,49,59,54,61,52,63,66]"
j3042_7,66,"[0,0,0,0,10,6,19,19,13,19,13,21,29,38,48,32,51,42,42,24,21,25,43,51,57,32,32,59,56,60,60,66]"
j3042_8,82,"[0,10,0,0,10,13,32,7,19,15,27,22,19,27,38,20,38,43,62,42,38,47,46,52,43,62,53,66,58,66,75,82]"
j3042_9,60,"[0,2,0,0,2,10,12,14,10,23,11,36,21,25,31,33,37,37,39,31,43,41,29,46,38,43,48,48,51,56,52,60]"
j3042_10,75,"[0,0,0,10,9,14,10,17,25,15,25,25,26,15,31,26,35,35,34,40,35,50,58,59,40,50,59,30,64,69,74,75]"
j3043_1,55,"[0,6,0,0,4,10,4,16,8,8,18,23,23,26,3,10,31,22,29,30,31,42,37,46,42,38,40,35,50,47,53,55]"
j3043_2,43,"[0,0,5,6,6,13,1,1,6,9,20,11,19,16,24,13,28,25,29,21,16,34,25,19,33,24,35,28,41,37,37,43]"
j3043_3,57,"[0,0,0,0,9,16,5,5,16,16,14,16,47,25,16,30,25,18,36,32,34,47,26,36,43,45,44,41,48,55,56,57]"
j3043_4,67,"[0,0,0,0,10,10,1,12,7,17,51,1,17,25,27,25,42,43,35,17,35,49,47,53,42,60,52,51,61,61,60,67]"
j3043_5,64,"[0,0,0,0,1,8,14,4,16,8,1,4,8,13,16,14,20,20,28,46,28,22,29,22,39,37,48,46,40,55,55,64]"
j3043_6,58,"[0,0,0,0,9,2,9,4,17,14,43,2,16,26,18,12,19,20,22,30,34,35,31,50,50,42,39,52,54,55,49,58]"
j3043_7,52,"[0,0,0,0,8,1,1,11,8,17,5,8,12,11,13,20,24,36,17,22,18,27,27,39,34,34,41,40,44,48,43,52]"
j3043_8,62,"[0,0,0,3,12,9,6,7,12,14,24,24,8,37,30,33,17,32,31,42,33,38,41,46,42,52,56,52,57,52,59,62]"
j3043_9,57,"[0,0,0,0,10,5,10,5,19,14,20,17,19,30,14,29,22,30,29,40,46,28,37,33,30,32,33,45,47,43,53,57]"
j3043_10,60,"[0,0,0,0,9,6,1,18,6,31,7,25,7,18,12,18,27,12,27,28,34,42,48,48,27,54,36,42,53,51,57,60]"
j3044_1,50,"[0,0,0,0,3,8,9,12,12,12,9,9,16,17,24,7,17,29,15,24,3,14,13,19,37,35,34,23,40,45,40,50]"
j3044_2,54,"[0,0,0,0,8,10,12,10,22,2,20,20,26,34,24,33,34,11,34,41,29,41,41,35,27,37,44,42,49,52,45,54]"
j3044_3,51,"[0,0,0,0,9,26,2,2,2,9,14,10,12,29,37,43,43,9,26,18,43,18,37,29,28,28,35,43,47,42,50,51]"
j3044_4,57,"[0,0,0,0,10,8,10,20,13,19,23,10,23,20,23,23,22,27,33,29,43,29,33,40,38,46,45,45,50,55,54,57]"
j3044_5,55,"[0,0,0,0,9,5,9,1,9,19,27,13,10,10,17,19,28,28,27,36,40,36,38,13,19,20,25,41,48,48,46,55]"
j3044_6,56,"[0,0,0,0,2,8,2,2,11,11,12,8,17,22,17,4,17,17,37,41,27,33,48,37,50,42,41,42,50,55,53,56]"
j3044_7,42,"[0,0,0,0,8,12,8,4,16,15,15,8,10,13,12,20,16,24,20,26,33,20,37,24,32,28,32,34,40,36,40,42]"
j3044_8,49,"[0,0,0,0,1,3,4,13,4,7,2,14,13,22,8,30,28,6,22,12,39,17,34,28,35,17,43,40,44,44,48,49]"
j3044_9,64,"[0,0,0,0,10,10,18,9,10,17,18,23,18,23,27,37,37,39,40,48,48,44,23,48,61,55,48,54,54,59,63,64]"
j3044_10,63,"[0,0,0,0,10,10,14,9,15,22,12,42,23,19,22,29,11,29,44,33,40,44,44,35,49,53,46,45,53,53,59,63]"
j3045_1,82,"[0,4,0,0,6,25,7,14,24,7,4,21,17,21,26,57,29,24,35,37,50,44,44,55,62,70,49,66,73,73,67,82]"
j3045_2,125,"[0,0,0,11,8,41,46,29,66,21,78,36,61,75,93,55,46,68,51,85,67,84,83,101,121,122,107,117,111,123,124,125]"
j3045_3,92,"[0,0,3,0,13,8,14,19,11,28,15,31,60,43,51,14,33,34,51,20,41,59,49,81,64,60,73,65,81,83,88,92]"
j3045_4,84,"[0,0,0,17,6,36,15,12,25,19,7,13,25,32,36,35,33,52,43,42,60,58,38,48,64,68,65,52,77,74,78,84]"
j3045_5,86,"[0,20,0,0,10,32,14,10,14,28,22,21,47,17,57,41,32,73,44,45,47,41,52,80,54,67,56,63,78,81,77,86]"
j3045_6,,
j3045_7,101,"[0,0,19,0,10,18,36,53,37,10,28,37,69,82,62,53,90,68,76,45,60,66,45,81,95,71,76,83,91,83,99,101]"
j3045_8,94,"[0,23,0,0,9,36,14,44,33,44,57,23,52,37,46,54,52,54,60,50,63,65,63,71,80,80,89,31,92,88,70,94]"
j3045_9,82,"[0,6,0,0,9,24,15,13,34,6,39,31,1,22,24,33,40,32,50,35,33,43,49,52,57,57,59,66,75,66,76,82]"
j3045_10,90,"[0,0,10,2,5,15,21,13,32,41,22,23,46,61,23,33,62,41,51,55,65,70,54,71,76,78,71,79,79,82,82,90]"
j3046_1,59,"[0,0,0,5,7,7,6,22,15,21,23,12,20,25,35,37,25,43,27,22,32,17,36,40,45,50,49,50,56,58,36,59]"
j3046_2,67,"[0,0,0,0,9,9,14,16,24,8,21,16,32,39,23,31,37,31,45,47,39,50,47,58,30,56,52,55,56,60,66,67]"
j3046_3,65,"[0,0,0,0,8,7,3,10,2,27,16,31,20,5,39,25,16,31,44,39,42,15,51,44,36,53,25,54,63,44,60,65]"
j3046_4,64,"[0,0,0,16,5,9,3,8,6,18,16,22,20,44,19,29,28,28,36,30,54,35,37,40,50,57,46,44,59,57,58,64]"
j3046_5,57,"[0,2,0,0,9,9,12,8,13,15,9,17,42,3,13,32,23,30,21,33,30,26,37,40,26,40,44,46,48,48,48,57]"
j3046_6,59,"[0,0,0,0,5,5,5,10,16,13,8,10,8,17,21,13,27,28,36,26,37,27,43,32,36,45,43,33,53,52,53,59]"
j3046_7,59,"[0,9,0,0,4,9,13,11,22,4,23,25,17,26,24,33,30,39,31,48,45,13,25,41,43,40,53,30,53,56,47,59]"
j3046_8,58,"[0,0,0,0,22,19,1,8,10,13,7,34,10,20,13,22,27,43,28,27,33,31,34,42,39,43,40,45,55,50,49,58]"
j3046_9,49,"[0,0,0,4,2,11,2,4,21,7,11,22,17,16,9,25,17,26,29,17,40,26,34,35,35,42,37,38,46,47,43,49]"
j3046_10,55,"[0,0,0,0,9,17,15,18,9,29,27,24,27,19,33,34,35,28,40,44,30,42,47,36,36,45,48,47,49,54,51,55]"
j3047_1,58,"[0,0,14,0,8,8,17,21,25,17,31,21,7,34,14,23,31,37,36,37,37,40,44,41,51,48,42,49,56,54,51,58]"
j3047_2,59,"[0,0,0,0,15,6,45,8,21,8,9,13,9,13,18,22,26,31,23,28,43,32,20,31,46,31,38,47,52,55,50,59]"
j3047_3,55,"[0,0,0,0,7,7,14,13,7,9,13,9,22,15,13,21,28,19,19,24,21,37,21,38,31,31,27,48,47,41,54,55]"
j3047_4,49,"[0,0,0,4,4,4,7,10,11,9,11,12,12,12,31,18,5,17,29,21,19,18,24,39,22,31,27,36,42,45,43,49]"
j3047_5,47,"[0,0,0,0,7,7,14,11,11,19,12,15,22,7,9,14,15,24,25,29,30,35,37,23,35,35,24,36,27,43,45,47]"
j3047_6,53,"[0,0,0,11,5,4,5,12,14,12,16,8,8,15,18,24,14,23,39,42,28,37,33,18,32,28,34,45,44,47,43,53]"
j3047_7,66,"[0,0,0,0,12,5,5,7,5,11,11,9,12,16,16,15,23,22,24,32,31,47,31,32,40,41,38,49,38,57,57,66]"
j3047_8,48,"[0,0,0,0,1,1,4,12,10,4,4,7,10,12,12,17,19,19,40,26,21,29,26,19,29,36,40,38,39,45,46,48]"
j3047_9,65,"[0,0,0,0,9,10,19,10,4,9,11,16,27,23,31,19,19,28,29,35,44,41,19,44,33,52,54,54,46,60,59,65]"
j3047_10,60,"[0,0,0,0,4,5,39,12,5,17,12,14,17,27,16,6,22,31,33,16,34,43,27,48,48,24,39,44,51,54,50,60]"
j3048_1,63,"[0,0,0,0,11,5,5,11,9,13,30,18,20,26,9,5,17,40,36,32,36,49,54,36,57,56,45,51,44,59,62,63]"
j3048_2,54,"[0,0,0,0,6,9,1,9,2,9,11,16,6,13,16,30,20,26,36,41,44,20,26,34,39,34,41,43,44,47,48,54]"
j3048_3,50,"[0,0,0,0,4,7,26,8,8,8,14,10,14,4,13,37,26,13,26,25,36,17,23,37,26,31,31,34,41,42,47,50]"
j3048_4,57,"[0,0,0,0,8,5,8,10,10,16,16,12,23,2,21,20,21,11,20,28,40,33,28,43,30,28,53,40,49,54,54,57]"
j3048_5,58,"[0,0,0,0,9,10,10,19,13,24,19,10,29,19,13,24,24,29,28,28,29,38,34,43,28,39,33,34,48,54,41,58]"
j3048_6,58,"[0,0,0,0,5,6,5,10,18,9,10,14,17,17,5,27,18,14,30,37,47,18,38,30,39,47,38,47,52,57,48,58]"
j3048_7,55,"[0,0,0,0,6,12,16,6,1,10,12,24,13,30,8,16,18,26,16,30,35,43,26,42,36,45,45,30,52,48,53,55]"
j3048_8,44,"[0,0,0,0,3,5,11,15,9,11,11,9,24,27,16,20,27,27,9,20,36,20,25,31,36,40,37,34,40,42,43,44]"
j3048_9,59,"[0,0,0,0,6,6,5,13,15,5,5,16,22,22,22,18,17,31,18,31,28,39,37,40,40,46,22,34,49,51,49,59]"
j3048_10,54,"[0,0,0,0,7,13,10,21,13,13,14,20,26,26,11,35,44,29,21,21,11,27,37,44,40,37,44,39,51,49,46,54]"
